iter	Passed	Remaining
0	4	832
1	8	862
2	13	856
3	17	851
4	21	822
5	24	805
6	28	799
7	32	788
8	36	776
9	40	770
10	44	765
11	48	759
12	52	753
13	56	752
14	60	746
15	64	743
16	68	739
17	72	736
18	76	731
19	80	727
20	84	723
21	88	718
22	92	714
23	96	710
24	101	707
25	105	704
26	109	701
27	113	699
28	118	697
29	122	694
30	126	690
31	130	685
32	134	681
33	139	678
34	142	673
35	146	669
36	151	665
37	155	661
38	159	658
39	163	654
40	168	654
41	172	649
42	177	648
43	181	644
44	186	641
45	190	638
46	196	638
47	200	636
48	205	632
49	209	629
50	214	626
51	218	621
52	222	617
53	226	613
54	231	609
55	235	604
56	239	600
57	243	596
58	247	591
59	251	587
60	255	582
61	257	573
62	261	568
63	265	564
64	267	555
65	271	551
66	275	547
67	280	543
68	284	539
69	288	535
70	292	530
71	296	526
72	300	522
73	304	518
74	308	514
75	312	510
76	316	505
77	320	501
78	324	497
79	329	493
80	333	489
81	337	485
82	341	481
83	346	478
84	350	474
85	355	470
86	359	467
87	364	463
88	369	460
89	374	457
90	379	454
91	383	450
92	388	446
93	392	442
94	396	438
95	400	433
96	404	429
97	408	425
98	412	421
99	416	416
100	420	412
101	424	408
102	429	404
103	433	399
104	437	395
105	441	391
106	445	387
107	449	383
108	453	379
109	458	374
110	462	370
111	466	366
112	470	362
113	474	358
114	478	353
115	483	349
116	486	345
117	490	341
118	494	336
119	498	332
120	502	328
121	506	324
122	511	320
123	515	315
124	519	311
125	524	307
126	528	303
127	532	299
128	537	295
129	541	291
130	546	287
131	551	283
132	556	280
133	560	276
134	565	272
135	570	268
136	575	264
137	579	260
138	584	256
139	588	252
140	592	248
141	597	244
142	601	239
143	606	235
144	610	231
145	614	227
146	618	222
147	622	218
148	627	214
149	630	210
150	634	205
151	638	201
152	642	197
153	646	193
154	650	188
155	654	184
156	658	180
157	662	176
158	666	171
159	670	167
160	675	163
161	679	159
162	683	155
163	687	150
164	691	146
165	696	142
166	700	138
167	704	134
168	708	129
169	712	125
170	716	121
171	721	117
172	725	113
173	730	109
174	734	104
175	739	100
176	743	96
177	748	92
178	753	88
179	758	84
180	762	80
181	767	75
182	771	71
183	775	67
184	780	63
185	786	59
186	790	54
187	794	50
188	798	46
189	802	42
190	806	38
191	810	33
192	814	29
193	818	25
194	822	21
195	826	16
196	829	12
197	833	8
198	837	4
199	841	0
